,price,area
0,598291,1188
1,1744259,3512
2,571669,1134
3,493675,1940
4,1101539,2208
5,455235,1785
6,1489871,2996
7,821931,3263
8,299903,1159
9,321975,1248
10,863995,3432
11,968251,3853
12,576755,2275
13,356333,698
14,76647,260
15,377375,1472
16,1099099,4380
17,497643,1956
18,835571,3318
19,32023,40
20,732155,2901
21,1007072,2017
22,2209887,4456
23,297671,1150
24,1361350,2735
25,591389,1174
26,400923,1566
27,1055051,4203
28,1656998,3335
29,336607,1307
30,1742780,3509
31,474331,1862
32,428804,845
33,449035,1760
34,269247,1036
35,275447,1061
36,690987,2735
37,301639,1166
38,555675,2190
39,2290655,4620
40,432667,1694
41,578912,1149
42,585435,2310
43,12663,2
44,970979,3864
45,1422330,2859
46,465707,1826
47,510043,2006
48,545399,2147
49,508803,2001
50,789195,3131
51,542430,1075
52,1024327,2052
53,556915,2195
54,677099,2679
55,2410454,4863
56,535035,1060
57,606027,1204
58,326439,1266
59,1026792,2057
60,1072315,4272
61,518425,1026
62,1585020,3189
63,734387,2910
64,932539,3709
65,89704,157
66,42423,122
67,599571,2367
68,502851,1977
69,755558,1507
70,174027,653
71,515499,2028
72,2280386,4599
73,2111203,4256
74,360911,1405
75,778035,3086
76,633451,2503
77,647683,2561
78,196108,373
79,1079543,2164
80,680075,2691
81,902556,1805
82,1041811,4149
83,366367,1427
84,55071,173
85,1329646,2671
86,492683,1936
87,478299,1878
88,1108630,2223
89,982539,3910
90,319851,624
91,227335,867
92,656958,1307
93,755715,2996
94,450027,1764
95,904528,1809
96,903049,1806
97,805067,3195
98,345287,1342
99,417703,1634
100,409084,805
101,1836450,3699
102,331151,1285
103,428699,1678
104,1057851,2120
105,2072749,4178
106,1656012,3333
107,1442543,2900
108,505827,1989
109,375391,1464
110,266271,1024
111,444075,1740
112,135553,250
113,1587144,3193
114,470611,1847
115,667179,2639
116,1101235,2208
117,401419,1568
118,378767,1477
119,84774,147
120,267263,1028
121,293551,1134
122,766875,3041
123,126186,231
124,1001883,3988
125,1131308,2269
126,805467,3196
127,955851,3803
128,912107,3626
129,547739,2158
130,713059,2824
131,826643,3282
132,607658,1207
133,470363,1846
134,319495,1238
135,810771,3218
136,876891,3484
137,1115532,2237
138,242215,927
139,570038,1131
140,678587,2685
141,377031,1470
142,49367,150
143,545259,2148
144,1435148,2885
145,1201523,4793
146,613574,1219
147,543523,2141
148,1045779,4165
149,654493,1302
150,621803,1236
151,204080,389
152,279319,1076
153,90699,317
154,1741794,3507
155,803331,3188
156,525668,1041
157,1219875,4867
158,357535,1392
159,667311,1328
160,496733,982
161,1405720,2825
162,1432190,2879
163,45895,136
164,355043,1381
165,953335,1908
166,273119,1051
167,497147,1954
168,45827,68
169,363639,1416
170,916171,3643
171,920139,3659
172,711971,2819
173,770099,3054
174,1009323,4018
175,930657,1862
176,1137539,4535
177,57303,182
178,218903,833
179,348607,1356
180,25121,26
181,529764,1049
182,735345,1466
183,929671,1860
184,761571,3019
185,882443,3507
186,513515,2020
187,441759,1731
188,556171,2192
189,83295,144
190,969987,3860
191,1048259,4175
192,357039,1390
193,580227,2289
194,251047,962
195,643154,1279
196,577092,1145
197,1027778,2059
198,794096,1585
199,428863,1679
200,632801,1258
201,857643,3407
202,803872,1605
203,293207,1132
204,702807,1400
205,1463163,5848
206,471107,1849
207,1294491,2600
208,719160,1433
209,380503,1484
210,336111,1305
211,1984995,4000
212,336455,1307
213,687524,1369
214,334719,1300
215,597891,2359
216,270983,1043
217,269895,1038
218,1385848,2785
219,664353,1322
220,994291,3958
221,633142,1259
222,573641,1138
223,601363,2373
224,150219,557
225,521203,2051
226,1501210,3019
227,320347,1243
228,297175,1148
229,534542,1059
230,528395,2080
231,1118490,2243
232,2140290,4315
233,995519,3962
234,1056443,4208
235,268999,1035
236,706599,1408
237,372319,1451
238,279567,1077
239,1379439,2772
240,372319,1451
241,1926821,3882
242,780208,1557
243,637731,1268
244,333479,1295
245,828131,3288
246,819699,3254
247,334623,1299
248,525915,2070
249,363227,1414
250,1491350,2999
251,642661,1278
252,1038587,4136
253,577251,2277
254,1038835,4137
255,2164940,4365
256,471695,932
257,70477,118
258,848326,1695
259,274607,1057
260,262551,1009
261,289583,1118
262,399847,1562
263,401419,1568
264,548991,1088
265,345879,1345
266,432831,1695
267,364879,1421
268,25063,52
269,1164819,4645
270,1319075,5267
271,181467,683
272,859875,3416
273,1052227,4191
274,478051,1877
275,1063883,4238
276,412042,811
277,652028,1297
278,673227,1340
279,478299,1878
280,1393479,2800
281,309823,1199
282,1062243,4232
283,181895,344
284,400839,1566
285,1989925,4010
286,1177650,2363
287,1647631,3316
288,1540157,3098
289,120270,219
290,1673419,3368
291,323311,1254
292,229579,877
293,660331,2612
294,397463,1553
295,420763,1646
296,385959,1506
297,1410005,2834
298,85079,294
299,370831,1445
300,718915,2847
301,1093840,2193
302,610957,1214
303,1620135,6480
304,1712366,3447
305,481943,952
306,486235,1910
307,125693,230
308,1636292,3293
309,316271,1225
310,1032215,2068
311,732387,1460
312,571547,2254
313,592627,2339
314,437627,1714
315,710543,1416
316,458211,1797
317,142779,527
318,468480,925
319,367359,1431
320,571176,1133
321,484749,958
322,28039,64
323,865331,3438
324,749642,1495
325,714795,2831
326,1606247,6424
327,775059,3074
328,1615093,3250
329,295191,1140
330,386799,1510
331,845739,3359
332,884179,3514
333,608499,2403
334,332487,1291
335,317359,1230
336,714699,2830
337,517235,2035
338,439611,1722
339,300247,1161
340,1050987,4186
341,1800613,3626
342,929067,3695
343,1181683,4713
344,246971,476
345,652521,1298
346,261063,1003
347,648084,1289
348,1039331,4139
349,315375,1222
350,945091,3759
351,1032708,2069
352,730667,2895
353,627719,1248
354,871779,3464
355,54701,86
356,676033,1346
357,1854350,3735
358,897075,3566
359,638224,1269
360,255855,982
361,785227,3115
362,614901,1222
363,547491,2157
364,479478,947
365,1644180,3309
366,391251,1527
367,454739,1783
368,544061,1078
369,870291,3458
370,1779262,3583
371,1768416,3561
372,759995,1516
373,662722,1319
374,589758,1171
375,14151,8
376,221828,425
377,863251,3429
378,45895,136
379,534843,2106
380,597305,1186
381,478340,945
382,165595,619
383,277583,1069
384,285023,1099
385,260071,999
386,265431,1020
387,428367,1677
388,987499,3930
389,881451,3503
390,745782,1487
391,622939,2460
392,19359,29
393,514011,2022
394,344791,1340
395,819947,3255
396,693440,1381
397,360911,1405
398,1443681,2902
399,988739,3935
400,801099,3179
401,673720,1341
402,505083,1986
403,1603754,3227
404,635114,1263
405,137159,504
406,494116,977
407,297423,1149
408,43167,125
409,378023,1474
410,687031,1368
411,1252738,2515
412,853256,1705
413,126247,460
414,704875,2791
415,1822646,3671
416,553428,1097
417,787955,3126
418,304215,1177
419,1386834,2787
420,319343,1238
421,1699889,3422
422,60279,194
423,280903,1083
424,1131919,4512
425,224111,854
426,387695,1513
427,398731,784
428,280807,1082
429,813499,3229
430,825651,3278
431,59138,95
432,268007,1031
433,578571,1148
434,710202,1415
435,855163,3397
436,1012002,2027
437,962209,1926
438,1260631,5031
439,151329,282
440,857200,1713
441,275599,1061
442,2023297,4078
443,905259,3599
444,666173,1326
445,2011124,4053
446,304367,1177
447,136539,252
448,1009323,4018
449,784152,1565
450,346527,1347
451,534843,2106
452,541291,2132
453,571299,2253
454,725076,1445
455,309671,1199
456,875934,1751
457,868955,3452
458,1431697,2878
459,1641222,3303
460,1013481,2030
461,912416,1825
462,1462756,2941
463,203775,772
464,542035,2135
465,513019,2018
466,439115,1720
467,435891,1707
468,1226323,4893
469,829619,3294
470,541291,2132
471,459947,1804
472,824163,3272
473,647187,2559
474,1022355,2048
475,48375,146
476,730819,2895
477,682555,2701
478,877906,1755
479,488845,966
480,730908,1457
481,884808,1769
482,302383,1169
483,525971,2069
484,652028,1297
485,1742780,3509
486,1045526,2095
487,2519984,5085
488,522710,1035
489,914881,1830
490,1511070,3039
491,228327,871
492,2273977,4586
493,457141,902
494,301735,1167
495,716683,2838
496,599277,1190
497,490665,970
498,484901,958
499,821931,3263
500,300895,1163
501,547019,1084
502,39943,112
503,928685,1858
504,1272951,2556
505,1698069,3418
506,1075599,2156
507,364727,1421
508,361751,1409
509,241967,926
510,474396,937
511,1047991,2100
512,1287893,2586
513,665195,2631
514,1010811,4024
515,551456,1093
516,328271,1274
517,852931,3388
518,512850,1015
519,448539,1758
520,658778,1311
521,300895,1163
522,455919,900
523,125503,457
524,1586159,6343
525,490172,969
526,323215,1253
527,1953291,3936
528,358431,1395
529,908731,3613
530,502156,993
531,187419,707
532,358279,1395
533,488219,1918
534,364727,1421
535,1814910,3655
536,153939,572
537,964674,1931
538,791675,3141
539,980155,3901
540,536827,2114
541,1024451,4079
542,403155,1575
543,525667,2069
544,1061487,4228
545,1015453,2034
546,1177303,4695
547,397451,1552
548,811763,3222
549,885419,3519
550,451763,1771
551,554414,1099
552,979563,3898
553,597305,1186
554,355951,1385
555,1631362,3283
556,45827,68
557,401583,1569
558,804365,1606
559,935267,3720
560,96239,339
561,894499,3555
562,381991,1490
563,548991,1088
564,548991,1088
565,323559,1255
566,280159,1080
567,523931,2062
568,366959,1430
569,827883,3287
570,1447966,2911
571,1003621,2010
572,283783,1094
573,1669968,3361
574,22335,41
575,1584034,3187
576,815788,1629
577,1154972,2317
578,2018519,4068
579,1357847,5423
580,1908428,3845
581,1636937,3294
582,1115532,2237
583,516739,2033
584,14275,4
585,342159,1330
586,833339,3309
587,103927,370
588,436635,1710
589,287255,1108
590,2341434,4723
591,1796517,3618
592,1593894,3207
593,1538185,3094
594,26107,28
595,100455,356
596,1382303,5521
597,293303,1133
598,1723060,3469
599,244447,936
600,946827,3766
601,242959,930
602,794803,3153
603,473835,1860
604,761171,3018
605,1059823,2124
606,2026900,4085
607,626885,1246
608,450989,890
609,1030243,2064
610,1931258,3891
611,358679,1396
612,1776304,3577
613,189783,360
614,836001,1670
615,1462415,2940
616,1701368,3425
617,535187,1060
618,340671,1324
619,710083,2812
620,678005,1350
621,784731,3113
622,1013481,2030
623,2318756,4677
624,2056821,4146
625,304463,1178
626,872675,3467
627,1121448,2249
628,2186375,4408
629,345383,1343
630,217675,829
631,371919,1450
632,22163,20
633,557659,2198
634,1007835,4012
635,600604,1193
636,837973,1674
637,2760720,5573
638,748163,1492
639,1935050,3899
640,859131,3413
641,495907,1949
642,258487,992
643,643988,1281
644,600604,1193
645,1321391,5276
646,1700875,3424
647,1689688,3401
648,285023,1099
649,2289176,4617
650,546003,2151
651,660493,1314
652,661971,2618
653,1861593,3750
654,776757,1550
655,691331,2737
656,1752640,3529
657,194611,736
658,587323,2317
659,924851,3678
660,1063767,2132
661,1145112,2297
662,354063,1378
663,370927,1446
664,891217,1782
665,1374252,2761
666,14895,11
667,309823,1199
668,869525,1738
669,382335,1492
670,765911,1528
671,989235,3937
672,1014379,4039
673,599819,2368
674,57659,92
675,51599,159
676,693963,2747
677,552783,1096
678,961223,1924
679,572787,2259
680,296927,1147
681,206267,783
682,1531776,3081
683,660902,1315
684,2947074,5951
685,580475,2290
686,545507,2149
687,626392,1245
688,789195,3131
689,723513,1442
690,2194604,4425
691,337187,1309
692,45399,134
693,517287,1024
694,325943,1264
695,470709,930
696,601097,1194
697,314631,1219
698,783743,1564
699,836258,1671
700,782757,1562
701,267275,1029
702,433907,1699
703,1043554,2091
704,432984,853
705,667311,1328
706,1256037,2522
707,182543,687
708,239487,916
709,884427,3515
710,497947,1956
711,314287,1217
712,1095812,2197
713,1828069,3682
714,689251,2728
715,1563821,3146
716,926713,1854
717,1501210,3019
718,1434655,2884
719,668019,2643
720,998691,2000
721,283287,1092
722,1644673,3310
723,358031,1394
724,1988294,4007
725,282791,1090
726,689989,1374
727,444075,1740
728,359175,1398
729,259339,997
730,32751,83
731,299159,1156
732,547739,2158
733,824163,3272
734,375143,1463
735,1010067,4021
736,780208,1557
737,345287,1342
738,874455,1748
739,440355,1725
740,237007,906
741,825155,3276
742,335367,1302
743,345383,1343
744,1249139,4985
745,814243,3232
746,310815,1203
747,1182675,4717
748,234679,896
749,234775,897
750,647439,1288
751,1979079,3988
752,423739,1658
753,1328508,2669
754,198083,750
755,1750175,3524
756,889635,3536
757,179375,673
758,1643839,3308
759,355455,1383
760,1708915,3440
761,1824125,3674
762,626885,1246
763,311903,1208
764,1065867,4246
765,327679,1271
766,959819,3819
767,317111,1229
768,757378,1511
769,713059,2824
770,827883,3287
771,472595,1855
772,1317966,2647
773,1009044,2021
774,276439,1065
775,1181271,4711
776,255015,978
777,780171,3094
778,719507,2850
779,605686,1203
780,518227,2039
781,776299,3079
782,778435,3087
783,644633,1282
784,1239275,2488
785,3074268,6209
786,872976,1745
787,401689,790
788,618504,1229
789,974699,3879
790,114591,413
791,473339,1858
792,606267,2394
793,61271,198
794,1073627,2152
795,364135,1418
796,343799,1336
797,174007,328
798,1020579,4064
799,796970,1591
800,328175,1273
801,1041582,2087
802,325791,1264
803,350495,1363
804,269151,1035
805,1127867,4496
806,476067,1869
807,1249471,4986
808,541208,1073
809,906899,3605
810,2159517,4354
811,827043,3283
812,997705,1998
813,483507,1899
814,327527,1271
815,509299,2003
816,332983,1293
817,1222513,2454
818,905011,3598
819,515995,2030
820,966763,3847
821,963195,1928
822,301391,1165
823,299407,1157
824,908965,1818
825,769603,3052
826,552699,2178
827,34983,92
828,580884,1153
829,1408033,2830
830,361491,1407
831,333631,1295
832,1105672,2217
833,315139,1222
834,969987,3860
835,667579,2640
836,998198,1999
837,1036159,2076
838,527651,2077
839,355455,1383
840,2132895,4300
841,604055,1200
842,1716310,3455
843,501663,992
844,354463,1379
845,315527,1222
846,286015,1103
847,522691,2057
848,364383,1419
849,212951,809
850,304615,1178
851,281895,1087
852,310911,1204
853,1843997,3714
854,254023,974
855,1351563,5398
856,979957,1962
857,321079,1245
858,419287,1641
859,2489418,5023
860,757530,1511
861,944843,3758
862,21591,38
863,409023,1599
864,800507,3176
865,1725032,3473
866,639251,2527
867,2396157,4834
868,986859,1976
869,1408678,2831
870,996523,3967
871,263240,509
872,634621,1262
873,343022,671
874,554435,2185
875,609630,1211
876,216435,824
877,1529804,3077
878,1182087,2372
879,432748,853
880,1689536,3401
881,747035,2961
882,1777935,3580
883,1602768,3225
884,1558631,6232
885,338427,1314
886,1189619,4745
887,305359,1181
888,349751,1360
889,739289,1474
890,443095,1737
891,529119,1048
892,729770,1455
893,391251,1527
894,752448,1501
895,252039,966
896,536331,2112
897,907491,3608
898,1096798,2199
899,1944910,3919
900,353967,1377
901,589417,1170
902,237255,907
903,71935,241
904,1291040,2593
905,393979,1538
906,709835,2811
907,433411,1697
908,680470,1355
909,1052475,4192
910,810523,3217
911,1273443,5083
912,556915,2195
913,754971,2993
914,29065,34
915,50855,156
916,358927,1397
917,728435,2886
918,515499,2028
919,549977,1090
920,312303,1209
921,536331,2112
922,308335,1193
923,750135,1496
924,510787,2009
925,972371,3869
926,830363,3297
927,582022,1155
928,313543,1214
929,638224,1269
930,455235,1785
931,249171,956
932,797875,3166
933,414811,1622
934,1144923,2296
935,320735,1243
936,516491,2032
937,910619,3620
938,573283,2261
939,71935,241
940,680571,2693
941,1288082,2587
942,464659,1823
943,376287,1467
944,1544101,3106
945,1167383,4655
946,862011,3424
947,159710,299
948,360995,1405
949,492931,1937
950,493427,1939
951,287806,559
952,1845324,3717
953,767867,3045
954,608151,1208
955,500032,989
956,483259,1898
957,795575,1588
958,498387,1959
959,727305,1450
960,1082501,2170
961,397863,1554
962,896147,1792
963,1031722,2067
964,2228044,4493
965,120543,437
966,551561,1094
967,303871,1175
968,223863,853
969,318847,1236
970,585987,2311
971,723513,1442
972,167827,628
973,407287,1592
974,1716310,3455
975,388275,1515
976,654131,2587
977,432419,1693
978,909971,3618
979,337599,1311
