parachute_id,actual,predicted
3956,opens,opens
2147,opens,opens
2024,opens,opens
8325,opens,opens
6598,opens,opens
4318,opens,opens
2964,opens,opens
1557,opens,opens
5974,opens,opens
2330,opens,opens
1698,opens,opens
3891,opens,opens
7533,opens,opens
4001,opens,opens
5719,opens,opens
2505,opens,opens
1655,opens,opens
2174,opens,opens
8166,opens,opens
2449,opens,opens
1777,opens,opens
1266,opens,opens
3486,opens,opens
4216,opens,opens
5055,opens,opens
1325,opens,opens
2938,opens,opens
8647,opens,opens
8465,opens,opens
7914,opens,opens
7247,opens,opens
6873,opens,opens
4067,opens,opens
7137,opens,opens
3485,opens,opens
8646,opens,opens
1318,opens,opens
2165,opens,opens
8396,opens,opens
6082,opens,opens
3422,opens,opens
6947,opens,opens
1010,opens,opens
3873,opens,opens
6818,opens,opens
6785,opens,opens
2629,opens,opens
5301,opens,opens
2735,opens,opens
5258,opens,opens
5339,opens,opens
1380,opens,opens
4872,opens,opens
1115,opens,opens
1987,opens,opens
6590,opens,opens
8932,opens,opens
7873,opens,opens
2534,opens,opens
8786,opens,opens
5266,opens,opens
6439,opens,opens
4865,opens,opens
1566,opens,opens
5656,opens,opens
7613,opens,opens
8448,opens,opens
4175,opens,opens
3904,opens,opens
3685,opens,opens
3230,opens,opens
5232,opens,opens
2605,opens,opens
7917,opens,opens
8409,opens,opens
1181,opens,opens
8349,opens,opens
3716,opens,fails
8041,opens,opens
6232,opens,opens
8610,opens,opens
5535,opens,opens
1726,opens,opens
7709,opens,opens
5068,opens,opens
8397,opens,opens
1926,opens,opens
8007,opens,opens
7845,opens,opens
4424,opens,opens
3011,opens,opens
2315,opens,opens
2664,opens,opens
7818,opens,opens
5016,opens,opens
2490,opens,opens
3386,opens,opens
5391,opens,opens
6899,opens,opens
3167,opens,opens
7815,opens,opens
3160,opens,opens
2817,opens,opens
5019,opens,opens
6501,opens,opens
4688,opens,opens
1334,opens,opens
5358,opens,opens
3614,opens,opens
1866,opens,opens
3789,opens,opens
3047,opens,opens
7116,opens,fails
6553,opens,opens
1404,opens,opens
4742,opens,opens
1504,opens,opens
7719,opens,opens
2059,opens,opens
3253,opens,opens
